system:index,DEM,NDVI,Near-Infrared,Near-Infrared_contrast,Near-Infrared_corr,Near-Infrared_diss,OSAVI,Red,Red_contrast,Red_corr,Red_diss,label,name,random,.geo
00000000000000000000,-31.540876,-0.7405793,28,5.006976820544002,0.1414581392123419,1.8140536858778815,-0.740034763,189,10.172757121388956,0.16434238378331376,2.5216288734512147,0,unvegetated,0.6019930286561986,"{""type"":""Point"",""coordinates"":[-121.75655690252934,36.81090924853907]}"
00000000000000000001,-31.54891,-0.67693233,37,1.9890108380056644,0.18356401912440495,1.1609562571032948,-0.676457986,191,12.081021744762989,0.2252725792816601,2.872391730340746,0,unvegetated,0.9473428015259869,"{""type"":""Point"",""coordinates"":[-121.75655690252934,36.81090924853907]}"
00000000000000000002,-31.55304,-0.70964104,32,1.841662397612767,-0.129702897,1.0788974851052249,-0.709125143,188,0.7125621776517355,-0.040787712,0.5836384019135579,0,unvegetated,0.7011222958949889,"{""type"":""Point"",""coordinates"":[-121.75654798432721,36.81090924853907]}"
00000000000000000003,-31.553467,-0.6847103,32,0.6217472089012012,0.21550068402594694,0.5967855407907546,-0.684170868,171,61.192399460751425,0.3553561395296158,6.807853454011367,0,unvegetated,0.10162349087215894,"{""type"":""Point"",""coordinates"":[-121.75654798432721,36.81090924853907]}"
00000000000000000004,-31.546516,-0.7131968,24,8.973129835642627,0.16417327681548788,2.6220677226014417,-0.712515618,143,11.834619157641566,0.14837372776681632,2.658376925358401,0,unvegetated,0.23738677379555817,"{""type"":""Point"",""coordinates"":[-121.75654798432721,36.81090924853907]}"
00000000000000000005,-31.548773,-0.7141845,25,4.299962404,0.18033687125788728,1.700917524913047,-0.713525736,149,33.859905736017126,0.3437240260931088,5.107073915002241,0,unvegetated,0.697891106,"{""type"":""Point"",""coordinates"":[-121.75654798432721,36.81090924853907]}"
00000000000000000006,-31.554207,-0.72433704,25,13.97221383198004,0.3790410211426417,3.272115431128256,-0.723707455,159,20.579212093708662,0.25817257793642495,4.019953011097749,0,unvegetated,0.5449939330004564,"{""type"":""Point"",""coordinates"":[-121.75655244342829,36.81090924853907]}"
00000000000000000007,-31.548077,-0.69609886,29,5.157787740673888,0.22015086796203542,1.9860524130046517,-0.69551335,161,11.639524391716584,0.23918765496459324,2.983637515280302,0,unvegetated,0.5438662166561566,"{""type"":""Point"",""coordinates"":[-121.75655244342829,36.81090924853907]}"
00000000000000000008,-31.546698,-0.71945035,25,9.314690775991483,0.2582449808200131,2.596644431019879,-0.718816055,156,10.013764771635897,0.054769082,2.561444079912272,0,unvegetated,0.18939467085213313,"{""type"":""Point"",""coordinates"":[-121.75655244342829,36.81090924853907]}"
00000000000000000009,-31.549038,-0.7438622,24,4.684500442912642,0.21506864417391353,1.8253608748558439,-0.743227369,163,5.613586097,0.23468234688036918,2.062625011751244,0,unvegetated,0.9169543395290114,"{""type"":""Point"",""coordinates"":[-121.75655244342829,36.81090924853907]}"
0000000000000000000a,-31.551697,-0.68169934,25,1.9271639191060992,-0.168830332,1.0397794895250645,-0.681011612,133,7.2245301619481666,-0.14919027,2.1127003250461946,0,unvegetated,0.9186357014870262,"{""type"":""Point"",""coordinates"":[-121.75653906612514,36.81090478943802]}"
0000000000000000000b,-31.535936,-0.7280455,30,2.9227990901782097,0.34369930803272675,1.4038468860504214,-0.727522675,192,7.3911532217269205,0.24493838311514413,2.419554853957006,0,unvegetated,0.5591428653816518,"{""type"":""Point"",""coordinates"":[-121.75652568882197,36.81090478943802]}"
0000000000000000000c,-31.545174,-0.73963803,25,5.379852325780536,0.31409818424228714,1.8806077843619922,-0.739010242,164,7.313203977473282,-0.016549016,2.2851763911753826,0,unvegetated,0.10232815001577478,"{""type"":""Point"",""coordinates"":[-121.756530147923,36.81090478943802]}"
0000000000000000000d,-31.536684,-0.66754925,36,6.915284833651996,0.10514509246626802,2.2662746763767454,-0.667058614,181,6.132180266983131,0.21488634398884113,2.098375155360835,0,unvegetated,0.3152132034317465,"{""type"":""Point"",""coordinates"":[-121.756530147923,36.81090478943802]}"
0000000000000000000e,-31.547873,-0.7187648,29,18.833652525774884,0.18837229267441014,3.5871688103105925,-0.718215161,180,38.765011087530695,0.22399030776833387,5.356663664474946,0,unvegetated,0.22825754731099868,"{""type"":""Point"",""coordinates"":[-121.75653460702407,36.81090478943802]}"
